id,title,description,channel_name,channel_id,tags,topic_categories,,distracting
utTEo3mEUII,,,,,,,,0
aYuUwyZl_WY,,,,,,,,0
W81fUnn2m0Q,,,,,,,,0
PG6Lxp6OsDA,,,,,,,,0
2dvMH5Pmj3Y,,,,,,,,0
xQ_LFTPh1uA,,,,,,,,0
4b4MUYve_U8,,,,,,,,0
gKiVk0HYWJA,,,,,,,,0
y7oko8Q-l8s,,,,,,,,0
XwCq0OH1Tcg,,,,,,,,0
JUeWDCuHN-U,,,,,,,,0
eYgPJ_7BkEw,,,,,,,,0
0zu4rQwBvfs,,,,,,,,0
ZZgvklkQrss,,,,,,,,0
aGe30NTVDOk,,,,,,,,0
mivtzPgaul8,,,,,,,,0
eYfozdnWEH0,,,,,,,,0
s25OyxtqSQQ,,,,,,,,0
li1Y7Rnvarc,,,,,,,,0
vQsCt-PD-Hc,,,,,,,,0
2eU_8ExBzDw,,,,,,,,0
Ck5bShcRFwk,,,,,,,,0
gG6Vjvy36VI,,,,,,,,0
kgn0LAiR2c4,,,,,,,,0
rQjTaCg6V8E,,,,,,,,0
2F0Nz3m-h1g,,,,,,,,0
FncazQA7jQ0,,,,,,,,0
AzblgZNoBWw,,,,,,,,0
pk6Sl52c9x4,,,,,,,,0
EthRahJIUhE,,,,,,,,0
ItcyB3OVtG4,,,,,,,,0
DvwwI4Rs4Ok,,,,,,,,0
xFOS5CHB1R8,,,,,,,,0
5l-dpBj2YqA,,,,,,,,0
34K3U7iHbps,,,,,,,,0
etjLLD2yxkM,,,,,,,,0
c0u5TSd8Nx4,,,,,,,,0
_7dSORIt8Iw,,,,,,,,0
5ruitP0dYRE,,,,,,,,0
9EApMZvO5ec,,,,,,,,0
7M52ensBFxM,,,,,,,,0
SGzMElJ11Cc,,,,,,,,0
AV7T9Gm8Cy0,,,,,,,,0
PLYSR9w-Odo,,,,,,,,0
F587JTsVqa8,,,,,,,,0
MxJFDYWVr_E,,,,,,,,0
B68VV8ewsk4,,,,,,,,0
wgdjIdJLeNk,,,,,,,,0
KIZz5J6kYS4,,,,,,,,0
UGPT64wo7lU,,,,,,,,0
AzblgZNoBWw,,,,,,,,0
nMisOlbZp8I,,,,,,,,0
tYQb0fsI8bE,,,,,,,,0
6fiLclsS8So,,,,,,,,0
71KKyAhlwy4,,,,,,,,0
WDhSyTG41KE,,,,,,,,0
soV0_Cy50Z4,,,,,,,,0
YPfUiOMYOEE,,,,,,,,0
4Ort_bdTQlk,,,,,,,,0
qJ3GpmDEwM8,,,,,,,,0
z57XZZwNwFI,,,,,,,,0
_L0Uc40n0cE,,,,,,,,0
AzbEGODDwW0,,,,,,,,0
bfbTJAPJ8eI,,,,,,,,0
madu00JjJO4,,,,,,,,0
tWicqYAp_O0,,,,,,,,0
n5PdM5UPw_g,,,,,,,,0
bT5T6GVf1is,,,,,,,,0
RukfMj7ktxw,,,,,,,,0
6N3OAWIsUOU,,,,,,,,0
vuG6fP9SA1c,,,,,,,,0
vkqeVWzMDHc,,,,,,,,0
nk_W_SceKzk,,,,,,,,0
bIjEmd0kGN8,,,,,,,,0
AeKIG6BOSSg,,,,,,,,0
XS9EbvXqOwg,,,,,,,,0
MrLPzBxG95I,,,,,,,,0
hIAIjEAIGyU,,,,,,,,0
xBrBlkQvvmE,,,,,,,,0
vICrdSUS9vg,,,,,,,,0
SEXNTWijZ88,,,,,,,,0
J3Zvrme_tI4,,,,,,,,0
1caj2V7E31w,,,,,,,,0
U3SfXcPqeTo,,,,,,,,0
qOssVBLwQjM,,,,,,,,0
jfSuQCs3bSs,,,,,,,,0
R46XvFLJ5ZM,,,,,,,,0
yT03ouRplnY,,,,,,,,0
TPr3gPb3WuI,,,,,,,,0
O5xGrO7Otjc,,,,,,,,0
MDdC3TlT-YQ,,,,,,,,0
1wHN6F3MJOI,,,,,,,,0
JQt-BlYcEbY,,,,,,,,0
q115i8E6cr0,,,,,,,,0
r3llG515Ygo,,,,,,,,0
JU7pT7efEzQ,,,,,,,,0
U-2TWyp5tbs,,,,,,,,0
8STUGBIO_Y4,,,,,,,,0
W4ld6Aw0RFc,,,,,,,,0
_Trz6sLulS8,,,,,,,,0
8-X-i6ffCBs,,,,,,,,0
fNteE4-TM1c,,,,,,,,0
7I0Qt7GALVk,,,,,,,,0
Dnx7u6KXSCk,,,,,,,,0
Q0e6jX8ItGU,,,,,,,,0
3EiOelSqWlo,,,,,,,,0
D9-UGlvWbaA,,,,,,,,0
fapRpXIBTFw,,,,,,,,0
5VjEBHWuYs8,,,,,,,,0
BVP1EDKb6_g,,,,,,,,0
mvveVcbHynE,,,,,,,,0
cHT-qLnRm0E,,,,,,,,0
SS9fvo8mR9Y,,,,,,,,0
wJ83TfR5mMg,,,,,,,,0
MIQmrBxp2-E,,,,,,,,0
lj5-JOZGeUM,,,,,,,,0
C0wfM2vJHLI,,,,,,,,0
qs8poJ9OuFo,,,,,,,,0
CO8E5egwIZE,,,,,,,,0
zSV-3JFMaTw,,,,,,,,0
dT-Gaolql1c,,,,,,,,0
nrQpPCeqIFI,,,,,,,,0
dC3NUiJR-dI,,,,,,,,0
cP2z7MFJScU,,,,,,,,0
SpbR7h96Ln8,,,,,,,,0
O2lRjthGqvs,,,,,,,,0
GBMMtXRiQX0,,,,,,,,0
ZMNXylSDQj8,,,,,,,,0
s6xh6oKq1C0,,,,,,,,0
7eh4d6sabA0,,,,,,,,0
O1nWXTXcCwI,,,,,,,,0
LuuGsDLrCNo,,,,,,,,0
w1_HEEbUBO4,,,,,,,,0
aMEytCvS8gM,,,,,,,,0
CG_IxmLqQsk,,,,,,,,0
8L10w1KoOU8,,,,,,,,0
dVj-pH7ksQA,,,,,,,,0
_Q9ZKUyzzXE,,,,,,,,0
sFLbxmoM0Ws,,,,,,,,0
dxgvrooTZqQ,,,,,,,,0
PXOhi6m09bA,,,,,,,,0
JnnaDNNb380,,,,,,,,0
W01tIRP_Rqs,,,,,,,,0
D6gtZrsYi6c,,,,,,,,0
3TbU9HI8Io4,,,,,,,,0
fM8XdC1EweU,,,,,,,,0
1FZ0A1QCMWc,,,,,,,,0
kE5QZ8G_78c,,,,,,,,0
tdzZPbQ1DTE,,,,,,,,0
J1cpZOYBi8A,,,,,,,,0
wvODQqb3D_8,,,,,,,,0
xtOg44r6dsE,,,,,,,,0
rHeaoaiBM6Y,,,,,,,,0
yf1j0s7s2DU,,,,,,,,0
w1k5x-0EDD0,,,,,,,,0
YSB1OTpCBjQ,,,,,,,,0
aue5apGj-AQ,,,,,,,,0
hy4bmVNsHL8,,,,,,,,0
RiFxh1PXbiE,,,,,,,,0
SdTZAMDKrNY,,,,,,,,0
RThpeperNHk,,,,,,,,0
WrDOi5LMaTE,,,,,,,,0
imC8hVuFYRc,,,,,,,,0
nQiu_iB4cUI,,,,,,,,0
wkvFK0DhNlQ,,,,,,,,0
LwFfZSjnink,,,,,,,,0
unO8shxFZz0,,,,,,,,0
Wzr3GNAkB9Y,,,,,,,,0
ZiQIzyw4Kxw,,,,,,,,0
ULJPfzjDDEI,,,,,,,,0
UmTpM-TWT5Y,,,,,,,,0
8dqdDEyzkFA,,,,,,,,0
IUn8k5zSI6g,,,,,,,,0
5yeJ03crTrI,,,,,,,,0
xtOg44r6dsE,,,,,,,,0
JbP9EPPvVXg,,,,,,,,0
E0Hmnixke2g,,,,,,,,0
4dwsSz_fNSQ,,,,,,,,0
MMJZ33NK288,,,,,,,,0
oQ1gk7aukxg,,,,,,,,0
Mx9f99bRB3Q,,,,,,,,0
g9mK8BofDFY,,,,,,,,0
P8_W5Wc4zeg,,,,,,,,0
D3tXj96a-_w,,,,,,,,0
aaKUJZqWZ_I,,,,,,,,0
YcOdGAnJlOc,,,,,,,,0
aG4rfm4JI2A,,,,,,,,0
edM0_C4j6R0,,,,,,,,0
Nt32lTUeCcM,,,,,,,,0
x3KOCphRltk,,,,,,,,0
wL3KyYurkSk,,,,,,,,0
eEcWfKtA9Jk,,,,,,,,0
aZcxRm4Hvns,,,,,,,,0
SYPejHY9WV8,,,,,,,,0
rwdtCbDvTDU,,,,,,,,0
d6HZ_kaeGYA,,,,,,,,0
ReCD3ShdoAc,,,,,,,,0
CO8E5egwIZE,,,,,,,,0
tOhuE3RX_MI,,,,,,,,0
HtlLarnT9HU,,,,,,,,0
0n3_2Ry4EQU,,,,,,,,0
dVGe3HjMSe0,,,,,,,,0
fRObld9eRW4,,,,,,,,0
SJRojOq5P_4,,,,,,,,0
DWkDCWFuZ0M,,,,,,,,0
mvWZdHi7raw,,,,,,,,0
NFBrfmphBOs,,,,,,,,0
lANt56UOaSk,,,,,,,,0
EHkZy--dJOs,,,,,,,,0
6gpJUpMS7rI,,,,,,,,0
qjdj49WytLs,,,,,,,,0
EJXYpt6qJ9M,,,,,,,,0
0gy-QLu0oQQ,,,,,,,,0
461Opp1TShk,,,,,,,,0
67YBoMco58o,,,,,,,,0
IbjF5VjniVE,,,,,,,,0
B3OimYsCH9w,,,,,,,,0
UPbc3W4MYJI,,,,,,,,0
SpbR7h96Ln8,,,,,,,,0
jFuTZU0g-A8,,,,,,,,0
7tqiq7TsV1A,,,,,,,,0
r6votHUPD0U,,,,,,,,0
1DuRkX_FXvY,,,,,,,,0
97HCQqvhK0Y,,,,,,,,0
9oCZw-lNXUI,,,,,,,,0
y1B6tMrPauI,,,,,,,,0
teWYOMn9Lso,,,,,,,,0
nBTXu_CEKcg,,,,,,,,0
Liff_GA74EI,,,,,,,,0
8y7jgfJ8vTA,,,,,,,,0
IF4fG3lFHXU,,,,,,,,0
XLzhbXeK-Os,,,,,,,,0
uur8DzLbNbY,,,,,,,,0
Mo-iWKVBPEE,,,,,,,,0
wJfvtumFanQ,,,,,,,,0
ukzFI9rgwfU,,,,,,,,0
i_LwzRVP7bg,,,,,,,,0
SHnghYbk31s,,,,,,,,0
GI7RWIl-LNI,,,,,,,,0
eXDhazB7DSM,,,,,,,,0
8Z9o307t_10,,,,,,,,0
98V7VRAFJGM,,,,,,,,0
c-IO5r18EXk,,,,,,,,0
Y-om06y6GSc,,,,,,,,0
sN8DclJz7SY,,,,,,,,0
5rPJyrU-WE4,,,,,,,,0
d9v4-i7kEvg,,,,,,,,0
3fsy2oheRdg,,,,,,,,0
HWu39YkGKvI,,,,,,,,0
Fa_V9fP2tpU,,,,,,,,0
rqmvGmKiCJI,,,,,,,,0
rrfXmQqAJzk,,,,,,,,0
J-hSbSlLt-Y,,,,,,,,0
m0e-KfuiqSc,,,,,,,,0
VA-OlKkrwXA,,,,,,,,0
yN7ypxC7838,,,,,,,,0
TgtDuxe7_Ew,,,,,,,,0
gOxBRgYUXaU,,,,,,,,0
5QvG3WmYOi4,,,,,,,,0
